WINE_ID,WINE_NM,WINE_REGION_NM,WINE_CAT,WINE_PC
3689,Chateau Ste. Michelle Gewurztraminer 2016,"Gewurztraminer from Columbia Valley, Washington",White Wine,9.99
3690,Chateau Ste. Michelle Horse Heaven Vineyard Sauvignon Blanc 2016,"Sauvignon Blanc from Horse Heaven Hills, Columbia Valley, Washington",White Wine,17.99
3691,Chateau Ste. Michelle Cold Creek Vineyard Cabernet Sauvignon 2014,"Cabernet Sauvignon from Columbia Valley, Washington",Red Wine,33.99
3692,Chateau Ste. Michelle Cold Creek Vineyard Riesling 2016,"Riesling from Columbia Valley, Washington",White Wine,22.0
3693,Chateau Ste. Michelle Mimi Chardonnay 2016,"Chardonnay from Horse Heaven Hills, Columbia Valley, Washington",White Wine,20.0
3694,Chateau Ste. Michelle Cabernet Sauvignon (1.5 Liter Magnum) 2015,"Cabernet Sauvignon from Columbia Valley, Washington",Red Wine,29.97
3695,Chateau Ste. Michelle Columbia Valley Syrah 2014,"Syrah/Shiraz from Columbia Valley, Washington",Red Wine,15.99
3696,Chateau Ste. Michelle Indian Wells Vineyard Chardonnay 2016,"Chardonnay from Columbia Valley, Washington",White Wine,17.0
3697,Chateau Ste. Michelle Indian Wells Red Blend 2015,"Other Red Blends from Columbia Valley, Washington",Red Wine,19.99
3698,Chateau Ste. Michelle Pinot Gris 2016,"Pinot Gris/Grigio from Columbia Valley, Washington",White Wine,15.0
3699,Chateau Ste. Michelle Canoe Ridge Estate Vineyard Merlot 2013,"Merlot from Columbia Valley, Washington",Red Wine,29.99
3700,Chateau Ste. Michelle Riesling 2017,"Riesling from Columbia Valley, Washington",White Wine,8.99
3701,Chateau Ste. Michelle Cold Creek Vineyard Chardonnay 2015,"Chardonnay from Columbia Valley, Washington",White Wine,30.0
3702,Chateau Ste. Michelle Gewurztraminer 2017,"Gewurztraminer from Columbia Valley, Washington",White Wine,8.99
3703,Chateau Ste. Michelle Merlot 2016,"Merlot from Columbia Valley, Washington",Red Wine,14.99
3704,Chateau Ste. Michelle Indian Wells Cabernet Sauvignon 2015,"Cabernet Sauvignon from Columbia Valley, Washington",Red Wine,20.0
3705,Chateau Ste. Michelle Canoe Ridge Estate Cabernet Sauvignon 2015,"Cabernet Sauvignon from Columbia Valley, Washington",Red Wine,33.99
3706,Chateau Ste. Michelle Horse Heaven Vineyard Sauvignon Blanc 2015,"Sauvignon Blanc from Horse Heaven Hills, Columbia Valley, Washington",White Wine,15.0
3707,Chateau Ste. Michelle Red Mountain Cabernet Sauvignon 2016,"Cabernet Sauvignon from Red Mountain, Yakima Valley, Columbia Valley, Washington",Red Wine,47.99
3708,Chateau Ste. Michelle Mimi Chardonnay 2015,"Chardonnay from Horse Heaven Hills, Columbia Valley, Washington",White Wine,20.0
3709,Chateau Ste. Michelle Harvest Select Sweet Riesling 2016,"Riesling from Columbia Valley, Washington",White Wine,10.0
3710,Chateau Ste. Michelle Cold Creek Vineyard Cabernet Sauvignon 2013,"Cabernet Sauvignon from Columbia Valley, Washington",Red Wine,30.0
3711,Chateau Ste. Michelle Mimi Chardonnay 2017,"Chardonnay from Horse Heaven Hills, Columbia Valley, Washington",White Wine,20.0
3712,Chateau Ste. Michelle Dry Riesling 2016,"Riesling from Columbia Valley, Washington",White Wine,10.0
3713,Chateau Ste. Michelle Columbia Valley Syrah 2015,"Syrah/Shiraz from Columbia Valley, Washington",Red Wine,14.99
3714,Chateau Ste. Michelle Cabernet Sauvignon 2016,"Cabernet Sauvignon from Columbia Valley, Washington",Red Wine,13.99
3715,Chateau Ste. Michelle Harvest Select Sweet Riesling 2015,"Riesling from Columbia Valley, Washington",White Wine,10.0
3716,Chateau Ste. Michelle Cabernet Sauvignon 2015,"Cabernet Sauvignon from Columbia Valley, Washington",Red Wine,15.0
3717,Chateau Ste. Michelle Ethos Cabernet Sauvignon Reserve 2013,"Cabernet Sauvignon from Columbia Valley, Washington",Red Wine,55.0
3718,Chateau Ste. Michelle Canoe Ridge Estate Vineyard Chardonnay 2016,"Chardonnay from Horse Heaven Hills, Columbia Valley, Washington",White Wine,25.99
3719,Chateau Suduiraut Sauternes (375ML Futures Pre-Sale) 2016,"Other Dessert from Sauternes, Bordeaux, France",Collectible,32.97
3720,Chateau Suduiraut Sauternes (Futures Pre-Sale) 2016,"Other Dessert from Sauternes, Bordeaux, France",Collectible,64.97
3721,Chateau Suduiraut Sauternes (375ML half-bottle) 2015,"Other Dessert from Sauternes, Bordeaux, France",Collectible,37.99
3722,Chateau Suduiraut Sauternes 2015,"Other Dessert from Sauternes, Bordeaux, France",Collectible,74.99
3723,Chateau Suduiraut Sauternes 2001,"Other Dessert from Sauternes, Bordeaux, France",Collectible,159.97
3724,Chateau Suduiraut Sauternes (375ML Futures Pre-Sale) 2017,"Other Dessert from Sauternes, Bordeaux, France",Collectible,32.97
3725,Chateau Suduiraut Sauternes (Futures Pre-Sale) 2017,"Other Dessert from Sauternes, Bordeaux, France",Collectible,65.97
3726,Chateau Talbot (Futures Pre-Sale) 2017,"Bordeaux Red Blends from St. Julien, Bordeaux, France",Red Wine,55.97
3727,Chateau Terriere Vin Sauvage a Poil 2014,"Gamay from Beaujolais, Burgundy, France",Red Wine,20.99
3728,Chateau Terriere Brouilly Tradition 2015,"Gamay from Beaujolais, Burgundy, France",Red Wine,20.0
3729,Chateau Tessendey 2015,"Bordeaux Red Blends from Fronsac, Bordeaux, France",Red Wine,18.0
3730,Chateau Teyssier 2011,"Bordeaux Red Blends from St. Emilion, Bordeaux, France",Red Wine,35.0
3731,Chateau Teyssier 2014,"Bordeaux Red Blends from St. Emilion, Bordeaux, France",Red Wine,36.0
3732,Chateau Thivin Brouilly Reverdon 2017,"Gamay from Beaujolais, Burgundy, France",Red Wine,26.99
3733,Chateau Thivin Cote de Brouilly 2017,"Gamay from Beaujolais, Burgundy, France",Red Wine,29.99
3734,Chateau Tirecul La Graviere Monbazillac Cuvee Madame (500 ML) 2002,"Fruit Wine from Southwest, France",Green Wine,98.99
3735,Chateau Tour St. Bonnet (1.5 Liter Magnum) 2005,"Bordeaux Red Blends from Cotes de Castillon, Bordeaux, France",Red Wine,79.97
3736,Chateau Trinquevedel Tavel Rose 2017,"Rosé from Tavel, Rhone, France",Pink and Rosé,18.99
3737,Chateau Troplong Mondot 2014,"Bordeaux Red Blends from St. Emilion, Bordeaux, France",Red Wine,99.99
3738,Chateau Troplong Mondot 2010,"Bordeaux Red Blends from St. Emilion, Bordeaux, France",Red Wine,209.99
3739,Chateau Troplong Mondot (3 Liter Bottle) 2005,"Bordeaux Red Blends from St. Emilion, Bordeaux, France",Red Wine,1599.97
3740,Chateau Troplong Mondot (Futures Pre-Sale) 2017,"Bordeaux Red Blends from St. Emilion, Bordeaux, France",Red Wine,104.97
3741,Chateau Trotanoy 2009,"Bordeaux Red Blends from Pomerol, Bordeaux, France",Red Wine,349.97
3742,Chateau Vieux Taillefer Saint-Emilion Grand Cru (1.5 Liter Magnum) 2010,"Bordeaux Red Blends from St. Emilion, Bordeaux, France",Red Wine,189.97
3743,Chateau Vincens L'Instant Malbec 2015,"Malbec from Cahors, Southwest, France",Red Wine,14.99
3744,Chaucer's Mead,Fruit Wine from California,,11.99
3745,Chaumeau Maison d'Anais Sancerre Blanc 2017,"Sauvignon Blanc from Sancerre, Loire, France",White Wine,25.99
3746,Chavy-Chouet La Taupe Bourgogne Rouge 2015,"Pinot Noir from Burgundy, France",Red Wine,26.99
3747,Chavy-Chouet Puligny-Montrachet Les Enseigneres 2016,"Chardonnay from Puligny-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,69.99
3748,Chavy-Chouet La Taupe Bourgogne Rouge 2016,"Pinot Noir from Burgundy, France",Red Wine,26.99
3749,Chavy-Chouet Meursault Les Genevrieres 2014,"Chardonnay from Meursault, Cote de Beaune, Cote d'Or, Burgundy, France",White Wine,82.99
3750,Chavy-Chouet Les Femelottes Blanc 2014,"Chardonnay from Burgundy, France",White Wine,26.99
3751,Chehalem Three Vineyard Riesling 2014,"Riesling from Willamette Valley, Oregon",White Wine,21.99
3752,Chehalem Ridgecrest Vineyard Pinot Noir 2015,"Pinot Noir from Ribbon Ridge, Willamette Valley, Oregon",Red Wine,47.99
3753,Chehalem INOX Chardonnay 2016,"Chardonnay from Willamette Valley, Oregon",White Wine,19.99
3754,Chehalem 3 Vineyard Pinot Noir 2016,"Pinot Noir from Willamette Valley, Oregon",Red Wine,32.99
3755,Chehalem Reserve Pinot Noir 2013,"Pinot Noir from Ribbon Ridge, Willamette Valley, Oregon",Red Wine,79.99
3756,Chehalem Stoller Vineyard Pinot Noir 2011,"Pinot Noir from Dundee Hills, Willamette Valley, Oregon",Red Wine,50.0
3757,Chene Bleu Abelard 2009,"Rhone Red Blends from Rhone, France",Red Wine,99.99
3758,Chene Bleu Abelard 2010,"Rhone Red Blends from Rhone, France",Red Wine,79.99
3759,Chene Bleu Heloise 2009,"Rhone Red Blends from Rhone, France",Red Wine,104.99
3760,Chereau Carre l'Oiseliniere Muscadet Sevre et Maine Le Clos 2013,"Melon de Bourgogne from Pays Nantais, Loire, France",White Wine,32.99
3761,Chereau Carre Muscadet Comte Leloup de Chasseloir Centenaires 2014,"Melon de Bourgogne from Pays Nantais, Loire, France",White Wine,19.99
3762,Chereau Carre Muscadet Comte Leloup de Chasseloir Centenaires 2013,"Melon de Bourgogne from Pays Nantais, Loire, France",White Wine,20.0
3763,Chereau Carre l'Oiseliniere Muscadet Sevre et Maine 2016,"Melon de Bourgogne from Pays Nantais, Loire, France",White Wine,14.99
3764,Cherry Picker Merlot 2012,Merlot from California,Red Wine,17.0
3765,Cherry Pie Three Counties Pinot Noir 2016,Pinot Noir from California,Red Wine,18.99
3766,Cherry Pie Stanly Ranch Pinot Noir 2014,"Pinot Noir from Carneros, California",Red Wine,49.99
3767,Chester's Anvil Pinot Noir 2009,"Pinot Noir from Sonoma Coast, Sonoma County, California",Red Wine,34.98
3768,Chester-Kidder 2014,"Other Red Blends from Columbia Valley, Washington",Red Wine,59.99
3769,Cheurlin Thomas Le Champion Blanc de Noir,"Non-Vintage Sparkling Wine from Champagne, France",Sparkling & Champagne,249.99
3770,Cheval des Andes 2014,"Bordeaux Red Blends from Mendoza, Argentina",Red Wine,79.99
3771,Chilensis Reserva Pinot Noir 2015,"Pinot Noir from Maule Valley, Chile",Red Wine,11.99
3772,Chimney Rock Stags Leap District Cabernet Sauvignon 2015,"Cabernet Sauvignon from Stags Leap District, Napa Valley, California",Red Wine,100.0
3773,Chimney Rock Elevage Red 2015,"Bordeaux Red Blends from Stags Leap District, Napa Valley, California",Red Wine,110.0
3774,Chloe Pinot Grigio 2017,Pinot Gris/Grigio from Italy,White Wine,16.99
3775,Chloe Cabernet Sauvignon 2015,"Cabernet Sauvignon from San Lucas, Monterey, Central Coast, California",Red Wine,17.0
3776,Chloe Chardonnay 2016,"Chardonnay from Sonoma County, California",White Wine,17.0
3777,Chloe Merlot 2015,"Merlot from San Lucas, Monterey, Central Coast, California",Red Wine,18.0
3778,Chloe Red Blend 249 2015,"Other Red Blends from North Coast, California",Red Wine,18.0
3779,Chloe Prosecco,"Non-Vintage Sparkling Wine from Prosecco, Italy",Sparkling & Champagne,17.0
3780,Chloe Monterey County Pinot Noir 2016,"Pinot Noir from Monterey, Central Coast, California",Red Wine,18.0
3781,Chloe Rose 2018,"Rosé from Central Coast, California",Pink and Rosé,16.99
3782,Chloe Creek Sangiacomo Pinot Noir 2013,"Pinot Noir from Sonoma Coast, Sonoma County, California",Red Wine,38.99
3783,Chloe Creek Leras Family Vineyard Pinot Noir 2014,"Pinot Noir from Russian River, Sonoma County, California",Red Wine,38.99
3784,Chocolate Shop Chocolate Red Wine,"Other Dessert from Walla Walla Valley, Columbia Valley, Washington",,15.0
3785,Chofflet-Valdenaire Givry Clos de Choue Premier Cru 2015,"Pinot Noir from Givry, Cote Chalonnaise, Burgundy, France",Red Wine,39.99
3786,Chris Ringland Shiraz 1999,"Syrah/Shiraz from Barossa Valley, Barossa, Australia",Red Wine,999.97
3787,Chris Ringland Three Rivers Dry Grown Shiraz 2001,"Syrah/Shiraz from Barossa Valley, Barossa, Australia",Red Wine,1299.97
3788,Christian Moreau Chablis Les Clos Grand Cru 2016,"Chardonnay from Chablis, Burgundy, France",White Wine,119.99
3789,Christian Moreau Chablis Vaudesir Grand Cru 2016,"Chardonnay from Chablis, Burgundy, France",White Wine,109.99
3790,Christian Moreau Chablis 2015,"Chardonnay from Chablis, Burgundy, France",White Wine,30.0
3791,Christian Moreau Chablis Valmur Grand Cru 2016,"Chardonnay from Chablis, Burgundy, France",White Wine,105.99
3792,Christian Moreau Chablis 2016,"Chardonnay from Chablis, Burgundy, France",White Wine,33.0
3793,Christophe Buisson Auxey-Duresses Rouge 2016,"Pinot Noir from Auxey-Duresses, Cote de Beaune, Cote d'Or, Burgundy, France",Red Wine,43.99
3794,Christophe Pichon Condrieu 2013,"Viognier from Condrieu, Rhone, France",White Wine,55.99
3795,Christophe Pichon Condrieu 2016,"Viognier from Condrieu, Rhone, France",White Wine,64.99
3796,Christopher Michael Red 2014,"Other Red Blends from Columbia Valley, Washington",Red Wine,14.99
3797,Christopher Michael Cabernet Sauvignon 2016,"Cabernet Sauvignon from Columbia Valley, Washington",Red Wine,14.99
3798,Chronic Cellars Spritz and Giggles,Non-Vintage Sparkling Wine from California,Sparkling & Champagne,18.0
3799,Chronic Cellars Dead Nuts Red Blend 2016,"Other Red Blends from Paso Robles, Central Coast, California",Red Wine,27.99
3800,Chronic Cellars Purple Paradise Red Blend 2016,"Other Red Blends from Paso Robles, Central Coast, California",Red Wine,13.99
3801,Chronic Cellars Pink Pedals Rose 2017,"Rosé from Paso Robles, Central Coast, California",Pink and Rosé,15.99
3802,Chronic Cellars Sofa King Bueno Red Blend 2016,"Other Red Blends from Paso Robles, Central Coast, California",Red Wine,23.99
3803,Chronic Cellars Suite Petite 2016,"Petite Sirah from Paso Robles, Central Coast, California",Red Wine,15.99
3804,Chronic Cellars Stone Fox White Blend 2015,"Rhone White Blends from Paso Robles, Central Coast, California",White Wine,20.0
3805,Churchill Estates Douro 2014,Other Red Blends from Portugal,Red Wine,19.99
3806,Ciacci Piccolomini d'Aragona Toscana Rosso 2014,"Tuscan Blends from Tuscany, Italy",Red Wine,14.99
3807,Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso 2013,"Sangiovese from Montalcino, Tuscany, Italy",Red Wine,78.99
3808,Ciacci Piccolomini d'Aragona Fabius 2015,"Syrah/Shiraz from Tuscany, Italy",Red Wine,22.99
3809,Ciacci Piccolomini d'Aragona Rosso di Montalcino 2016,"Sangiovese from Tuscany, Italy",Red Wine,23.99
3810,Ciacci Piccolomini d'Aragona Ateo 2016,"Bordeaux Red Blends from Tuscany, Italy",Red Wine,22.99
3811,Ciacci Piccolomini d'Aragona Toscana Rosso 2015,"Tuscan Blends from Tuscany, Italy",Red Wine,14.99
3812,Ciavolich Divus 2015,"Montepulciano from Abruzzo, Italy",Red Wine,18.99
3813,Cielo y Tierra Celador Malbec 2015,Malbec from Argentina,Red Wine,23.99
3814,Cielo y Tierra Don Juan Nahuel Malbec 2014,Malbec from Argentina,Red Wine,34.99
3815,Cigar Box Old Vine Pinot Noir 2015,Pinot Noir from Chile,Red Wine,12.99
3816,Cigar Box Old Vine Cabernet Sauvignon 2015,Cabernet Sauvignon from Chile,Red Wine,12.99
3817,Cignale 2011,"Bordeaux Red Blends from Tuscany, Italy",Red Wine,74.99
3818,Cinnabar Monterey Chardonnay 2015,"Chardonnay from Monterey, Central Coast, California",White Wine,18.99
3819,Cinnabar Santa Cruz Mountains Chardonnay 2014,"Chardonnay from Santa Cruz Mountains, California",White Wine,28.0
3820,Cinnabar Mercury Rising Red 2015,Bordeaux Red Blends from California,Red Wine,25.99
3821,Cinnabar Monterey Chardonnay 2016,"Chardonnay from Monterey, Central Coast, California",White Wine,20.0
3822,Cinnabar Santa Cruz Mountains Chardonnay 2015,"Chardonnay from Santa Cruz Mountains, California",White Wine,38.0
3823,Cinnabar Santa Cruz Mountains Chardonnay 2013,"Chardonnay from Santa Cruz Mountains, California",White Wine,34.0
3824,Cinzano Prosecco,"Non-Vintage Sparkling Wine from Prosecco, Italy",Sparkling & Champagne,13.99
3825,Circus Bear Cote du Roussillon 2014,"Rhone Red Blends from Languedoc-Roussillon, France",Red Wine,18.99
3826,Cirillo The Vincent Grenache 2015,"Grenache from Barossa Valley, Barossa, Australia",Red Wine,37.5
3827,Cirillo 1850 Grenache 2010,"Grenache from Barossa Valley, Barossa, Australia",Red Wine,74.99
3828,Cirq Treehouse Pinot Noir 2015,"Pinot Noir from Russian River, Sonoma County, California",Red Wine,199.97
3829,Cirq Bootleggers Hill Pinot Noir 2015,"Pinot Noir from Russian River, Sonoma County, California",Red Wine,199.97
3830,CK Lamb Grandma's Vineyard Syrah 2003,"Syrah/Shiraz from Sonoma County, California",Red Wine,24.98
3831,Claiborne & Churchill Pinot Noir 2016,"Pinot Noir from Edna Valley, Central Coast, California",Red Wine,29.99
3832,Claiborne & Churchill Dry Gewurztraminer 2017,"Gewurztraminer from Central Coast, California",White Wine,22.0
3833,Claiborne & Churchill Pinot Noir 2015,"Pinot Noir from Edna Valley, Central Coast, California",Red Wine,32.0
3834,Claiborne & Churchill Dry Riesling 2017,"Riesling from Central Coast, California",White Wine,19.99
3835,Clarendelle Inspired by Haut-Brion 2012,"Bordeaux Red Blends from Pessac-Leognan, Bordeaux, France",Red Wine,20.99
3836,Clarendelle Inspired by Haut-Brion Blanc 2017,"Bordeaux White Blends from Bordeaux, France",White Wine,19.99
3837,Clarendelle Inspired by Haut-Brion 2015,"Bordeaux Red Blends from Bordeaux, France",Red Wine,18.99
3838,Clarendelle Inspired by Haut-Brion Medoc 2014,"Bordeaux Red Blends from Medoc, Bordeaux, France",Red Wine,19.99
3839,Clarendon Hills Hickinbotham Grenache (torn labels) 2003,"Grenache from McLaren Vale, Australia",Red Wine,115.0
3840,Clarendon Hills Kangarilla Grenache (scuffed labels) 2003,"Grenache from McLaren Vale, Australia",Red Wine,57.97
3841,Clarendon Hills Blewitt Springs Grenache 1998,"Grenache from McLaren Vale, Australia",Red Wine,51.97
3842,Clarendon Hills Astralis Syrah 2010,"Syrah/Shiraz from McLaren Vale, Australia",Red Wine,229.99
3843,Clark-Claudon Wild Iris Sauvignon Blanc 2014,"Sauvignon Blanc from Napa Valley, California",White Wine,34.98
3844,Clarksburg Wine Company Petite Sirah 2012,"Petite Sirah from Clarksburg, Yolo County, California",Red Wine,26.99
3845,Clarksburg Wine Company Chenin Blanc 2017,"Chenin Blanc from Clarksburg, Yolo County, California",White Wine,18.99
3846,Classic McLaren La Testa Shiraz 1997,"Syrah/Shiraz from McLaren Vale, Australia",Red Wine,259.97
3847,Clau de Nell Grolleau 2013,"Other Red Wine from Loire, France",Red Wine,57.99
3848,Clau de Nell Cabernet Franc 2013,"Cabernet Franc from Loire, France",Red Wine,49.99
3849,Claude Val Rose 2017,"Rosé from Languedoc-Roussillon, France",Pink and Rosé,9.99
3850,Claude Val Blanc Classique 2017,"Other White Blends from Languedoc-Roussillon, France",White Wine,9.99
3851,Clayhouse Adobe Red 2014,"Zinfandel from Paso Robles, Central Coast, California",Red Wine,15.99
3852,Clayhouse Paso Robles Cabernet Sauvignon 2016,"Cabernet Sauvignon from Paso Robles, Central Coast, California",Red Wine,15.99
3853,Claypool Cellars CC Pachyderm Pinot Noir 2014,"Pinot Noir from Sonoma Coast, Sonoma County, California",Red Wine,46.99
3854,Claypool Cellars CC Pachyderm Thorn Ridge Pinot Noir 2014,"Pinot Noir from Sonoma Coast, Sonoma County, California",Red Wine,69.99
3855,Claypool Cellars CC Pachyderm Rice Spivak Vineyard Pinot Noir 2013,"Pinot Noir from Sonoma Coast, Sonoma County, California",Red Wine,71.99
3856,Clean Slate Riesling 2017,"Riesling from Mosel, Germany",White Wine,10.99
3857,Clefs des Murailles Vacqueyras 2016,"Rhone Red Blends from Vacqueyras, Rhone, France",Red Wine,23.99
3858,Clelia Romano Colli di Lapio Fiano di Avellino 2017,"Other White Wine from Campania, Italy",White Wine,26.99
3859,Clement & Florian Berthier Pouilly Fume 2016,"Sauvignon Blanc from Pouilly-Fume, Loire, France",White Wine,22.99
3860,Cleto Chiarli Lambrusco di Sorbara Vecchia Modena,"Lambrusco from Emilia-Romagna, Italy",Red Wine,17.99
3861,Cleto Chiarli Lambrusco di Castelvetro Vigneto Cialdini 2017,"Red Sparkling Wine from Emilia-Romagna, Italy",Sparkling & Champagne,15.99
3862,Cleto Chiarli Lambrusco Grasparossa di Castelvetro Amabile,"Lambrusco from Emilia-Romagna, Italy",Red Wine,13.99
3863,Cliff Lede Sauvignon Blanc 2017,"Sauvignon Blanc from Napa Valley, California",White Wine,25.0
3864,Cliff Lede Stags Leap District Cabernet Sauvignon 2015,"Cabernet Sauvignon from Stags Leap District, Napa Valley, California",Red Wine,80.0
3865,Clifford Bay Sauvignon Blanc 2017,"Sauvignon Blanc from Marlborough, New Zealand",White Wine,9.99
3866,Clifford Bay Sauvignon Blanc 2016,"Sauvignon Blanc from Marlborough, New Zealand",White Wine,10.99
3867,Cline Ancient Vines Mourvedre 2016,"Mourvedre from San Francisco Bay, Central Coast, California",Red Wine,22.0
3868,Cline Pinot Noir 2017,"Pinot Noir from Sonoma Coast, Sonoma County, California",Red Wine,14.99
3869,Cline Big Break Zinfandel 2014,"Zinfandel from San Francisco Bay, Central Coast, California",Red Wine,37.0
3870,Cline Cashmere White 2017,Other White Blends from California,White Wine,13.99
3871,Cline Pinot Gris 2015,"Pinot Gris/Grigio from Sonoma County, California",White Wine,12.99
3872,Cline Ancient Vines Carignane 2015,"Carignan from San Francisco Bay, Central Coast, California",Red Wine,23.0
3873,Cline Lodi Zinfandel 2017,"Zinfandel from Lodi, California",Red Wine,11.99
3874,Cline North Coast Viognier 2017,"Viognier from North Coast, California",White Wine,11.99
3875,Cline Pinot Gris 2017,"Pinot Gris/Grigio from Sonoma County, California",White Wine,15.0
3876,Cline Lodi Zinfandel (375ML half-bottle) 2016,"Zinfandel from Lodi, California",Red Wine,9.99
3877,Cline Chardonnay 2017,"Chardonnay from Sonoma Coast, Sonoma County, California",White Wine,13.99
3878,Cline Mourvedre Rose 2017,"Rosé from San Francisco Bay, Central Coast, California",Pink and Rosé,18.0
3879,Cline Cashmere Red 2017,Rhone Red Blends from California,Red Wine,23.0
3880,Cline Ancient Vines Zinfandel (375ML half-bottle) 2016,Zinfandel from California,Red Wine,10.99
3881,Cline Live Oak Zinfandel 2016,"Zinfandel from San Francisco Bay, Central Coast, California",Red Wine,37.0
3882,Cline Cashmere Black Magic 2016,Rhone Red Blends from California,Red Wine,25.0
3883,Cline Ancient Vines Zinfandel 2017,"Zinfandel from San Francisco Bay, Central Coast, California",Red Wine,15.99
3884,Clockwork Cabernet Sauvignon 2015,Cabernet Sauvignon from California,Red Wine,15.99
3885,Clos Bellane Cotes du Rhone Villages Valreas Blanc 2016,"Rhone White Blends from Cotes du Rhone Villages, Rhone, France",White Wine,19.99
3886,Clos Bellane Cotes du Rhone Villages Valreas Rouge 2016,"Rhone Red Blends from Cotes du Rhone Villages, Rhone, France",Red Wine,19.99
3887,Clos Cibonne Rose Tradition 2016,"Rosé from Cotes de Provence, Provence, France",Pink and Rosé,29.99
3888,Clos Cibonne Cotes de Provence Rose Tentations 2017,"Rosé from Cotes de Provence, Provence, France",Pink and Rosé,18.99
3889,Clos Cibonne Cuvee Speciale Rouge 2016,"Other Red Blends from Cotes de Provence, Provence, France",Red Wine,29.99
3890,Clos de l'Elu Maupiti 2016,"Other Red Blends from Loire, France",Red Wine,31.99
3891,Clos de l'Oratoire 2015,"Bordeaux Red Blends from St. Emilion, Bordeaux, France",Red Wine,47.99
3892,Clos de l'Oratoire (Futures Pre-Sale) 2016,"Bordeaux Red Blends from St. Emilion, Bordeaux, France",Red Wine,44.97
3893,Clos de l'Oratoire (Futures Pre-Sale) 2017,"Bordeaux Red Blends from St. Emilion, Bordeaux, France",Red Wine,39.97
3894,Clos de l'Oratoire des Papes 2016,"Rhone Red Blends from Chateauneuf-du-Pape, Rhone, France",Red Wine,57.99
3895,Clos de la Roilette Fleurie 2017,"Gamay from Beaujolais, Burgundy, France",Red Wine,24.99
3896,Clos de la Tech Domaine Lois Louise Twisty Ridge Pinot Noir 2010,"Pinot Noir from Santa Cruz Mountains, California",Red Wine,89.99
3897,Clos de la Tech Domaine Lois Louise Cote Sud Pinot Noir 2010,"Pinot Noir from Santa Cruz Mountains, California",Red Wine,58.99
3898,Clos de la Tech Domaine Valeta Sunny Slope Pinot Noir 2010,"Pinot Noir from Santa Cruz Mountains, California",Red Wine,69.99
3899,Clos de la Tech Santa Cruz Mountains Estates Pinot Noir 2010,"Pinot Noir from Santa Cruz Mountains, California",Red Wine,48.99
3900,Clos de los Siete Red Blend 2015,"Other Red Blends from Uco Valley, Mendoza, Argentina",Red Wine,20.0
3901,Clos de Nit Crianza 2012,"Other Red Blends from Montsant, Spain",Red Wine,13.99
3902,Clos de Tart Grand Cru Monopole (1.5 Liter Magnum) 2016,"Pinot Noir from Morey-St-Denis, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,1299.97
3903,Clos de Tart Grand Cru Monopole 2016,"Pinot Noir from Morey-St-Denis, Cote de Nuits, Cote d'Or, Burgundy, France",Red Wine,625.0
3904,Clos des Lunes Lune Blanche 2015,"Bordeaux White Blends from Bordeaux, France",White Wine,19.99
3905,Clos des Lunes Lune d'Argent 2015,"Bordeaux White Blends from Sauternes, Bordeaux, France",White Wine,19.99
3906,Clos des Lunes Lune Blanche 2016,"Bordeaux White Blends from Bordeaux, France",White Wine,19.99
3907,Clos des Papes Chateauneuf-du-Pape (1.5 Liter Magnum) 2000,"Rhone Red Blends from Chateauneuf-du-Pape, Rhone, France",Red Wine,289.97
3908,Clos des Papes Chateauneuf-du-Pape 2009,"Rhone Red Blends from Chateauneuf-du-Pape, Rhone, France",Red Wine,125.0
3909,Clos des Papes Chateauneuf-du-Pape 2013,"Rhone Red Blends from Chateauneuf-du-Pape, Rhone, France",Red Wine,125.0
3910,Clos des Papes Chateauneuf-du-Pape 2014,"Rhone Red Blends from Chateauneuf-du-Pape, Rhone, France",Red Wine,110.0
3911,Clos du Bois Chardonnay 2016,Chardonnay from California,White Wine,10.99
3912,Clos du Bois Pinot Noir 2016,Pinot Noir from California,Red Wine,20.0
3913,Clos du Bois Chardonnay 2017,Chardonnay from California,White Wine,11.99
3914,Clos du Bois California Cabernet Sauvignon 2016,Cabernet Sauvignon from California,Red Wine,18.0
3915,Clos du Bois Marlstone 2013,"Bordeaux Red Blends from Alexander Valley, Sonoma County, California",Red Wine,60.0
3916,Clos du Bois Pinot Grigio 2017,Pinot Gris/Grigio from California,White Wine,15.0
3917,Clos du Bois Zinfandel 2013,Zinfandel from California,Red Wine,12.99
3918,Clos du Bois Calcaire Vineyard Chardonnay 2015,"Chardonnay from Russian River, Sonoma County, California",White Wine,40.0
3919,Clos du Bois Russian River Valley Reserve Chardonnay 2015,"Chardonnay from Russian River, Sonoma County, California",White Wine,16.99
3920,Clos du Bois Zinfandel 2016,Zinfandel from California,Red Wine,14.99
3921,Clos du Bois California Merlot 2017,Merlot from California,Red Wine,18.0
3922,Clos du Bois Alexander Valley Reserve Merlot 2014,"Merlot from Alexander Valley, Sonoma County, California",Red Wine,21.99
3923,Clos du Bois Sauvignon Blanc 2015,Sauvignon Blanc from California,White Wine,11.99
3924,Clos du Caillou Chateauneuf-du-Pape Les Quartz 2014,"Rhone Red Blends from Chateauneuf-du-Pape, Rhone, France",Red Wine,89.99
